Districts,Sub group,Value
Achham,Total Population,272064
Achham,Water Coverage Supply (%),88.01
Achham,Sanitation Coverage (%,19.08
Arghakhachi,Total Population,244257
Arghakhachi,Water Coverage Supply (%),82.97
Arghakhachi,Sanitation Coverage (%,46.2
Baglung,Total Population,315702
Baglung,Water Coverage Supply (%),90.87
Baglung,Sanitation Coverage (%,59.32
Baitadi,Total Population,275839
Baitadi,Water Coverage Supply (%),89.66
Baitadi,Sanitation Coverage (%,25.59
Bajhang,Total Population,198588
Bajhang,Water Coverage Supply (%),58.23
Bajhang,Sanitation Coverage (%,14.03
Bajura,Total Population,128590
Bajura,Water Coverage Supply (%),86.82
Bajura,Sanitation Coverage (%,10.57
Banke,Total Population,484266
Banke,Water Coverage Supply (%),90.56
Banke,Sanitation Coverage (%,35.97
Bara,Total Population,693913
Bara,Water Coverage Supply (%),88.58
Bara,Sanitation Coverage (%,19.06
Bardiya,Total Population,474561
Bardiya,Water Coverage Supply (%),82.18
Bardiya,Sanitation Coverage (%,39.16
Bhaktapur,Total Population,276577
Bhaktapur,Water Coverage Supply (%),91.66
Bhaktapur,Sanitation Coverage (%,87.1
Bhojpur,Total Population,227585
Bhojpur,Water Coverage Supply (%),67
Bhojpur,Sanitation Coverage (%,36.8
Chitwan,Total Population,583656
Chitwan,Water Coverage Supply (%),85.05
Chitwan,Sanitation Coverage (%,83.08
Dadeldhura,Total Population,150224
Dadeldhura,Water Coverage Supply (%),77.51
Dadeldhura,Sanitation Coverage (%,43.08
Dailekh,Total Population,267050
Dailekh,Water Coverage Supply (%),55.73
Dailekh,Sanitation Coverage (%,19.86
Dang,Total Population,570603
Dang,Water Coverage Supply (%),69.25
Dang,Sanitation Coverage (%,44.11
Darchula,Total Population,145003
Darchula,Water Coverage Supply (%),80.24
Darchula,Sanitation Coverage (%,16.43
Dhading,Total Population,405045
Dhading,Water Coverage Supply (%),69.25
Dhading,Sanitation Coverage (%,51.43
Dhankuta,Total Population,194274
Dhankuta,Water Coverage Supply (%),76.42
Dhankuta,Sanitation Coverage (%,48.64
Dhanusha,Total Population,807151
Dhanusha,Water Coverage Supply (%),75
Dhanusha,Sanitation Coverage (%,23.87
Dolakha,Total Population,241318
Dolakha,Water Coverage Supply (%),81.43
Dolakha,Sanitation Coverage (%,48.13
Dolpa,Total Population,34744
Dolpa,Water Coverage Supply (%),69.69
Dolpa,Sanitation Coverage (%,17.64
Doti,Total Population,249064
Doti,Water Coverage Supply (%),79.96
Doti,Sanitation Coverage (%,23.31
Gorkha,Total Population,336518
Gorkha,Water Coverage Supply (%),70.11
Gorkha,Sanitation Coverage (%,44.15
Gulmi,Total Population,343357
Gulmi,Water Coverage Supply (%),77.85
Gulmi,Sanitation Coverage (%,67.03
Humla,Total Population,47730
Humla,Water Coverage Supply (%),48.4
Humla,Sanitation Coverage (%,25.83
Ilam,Total Population,340185
Ilam,Water Coverage Supply (%),68.23
Ilam,Sanitation Coverage (%,67.97
Jajarkot,Total Population,158752
Jajarkot,Water Coverage Supply (%),77.05
Jajarkot,Sanitation Coverage (%,25.25
Jhapa,Total Population,808674
Jhapa,Water Coverage Supply (%),81.25
Jhapa,Sanitation Coverage (%,57.14
Jumla,Total Population,104994
Jumla,Water Coverage Supply (%),87.95
Jumla,Sanitation Coverage (%,37.21
Kailali,Total Population,791596
Kailali,Water Coverage Supply (%),88.63
Kailali,Sanitation Coverage (%,39.2
Kalikot,Total Population,124552
Kalikot,Water Coverage Supply (%),79.08
Kalikot,Sanitation Coverage (%,21.86
